day,status,count
2009-04-26T22:09:08.216000+00:00,Patch Available,1
2009-04-26T22:09:08.216000+00:00,Reopened,0
2009-04-26T22:09:08.216000+00:00,Closed,0
2009-04-26T22:09:08.216000+00:00,Open,11
2009-04-27T22:09:08.216000+00:00,Resolved,12
2009-04-27T22:09:08.216000+00:00,In Progress,0
2009-04-27T22:09:08.216000+00:00,Patch Available,1
2009-04-27T22:09:08.216000+00:00,Reopened,0
2009-04-27T22:09:08.216000+00:00,Closed,0
2009-04-27T22:09:08.216000+00:00,Open,11
2009-04-28T22:09:08.216000+00:00,Resolved,12
2009-04-28T22:09:08.216000+00:00,In Progress,0
2009-04-28T22:09:08.216000+00:00,Patch Available,1
2009-04-28T22:09:08.216000+00:00,Reopened,0
2009-04-28T22:09:08.216000+00:00,Closed,0
2009-04-28T22:09:08.216000+00:00,Open,11
2009-04-29T22:09:08.216000+00:00,Resolved,12
2009-04-29T22:09:08.216000+00:00,In Progress,0
2009-04-29T22:09:08.216000+00:00,Patch Available,2
2009-04-29T22:09:08.216000+00:00,Reopened,0
2009-04-29T22:09:08.216000+00:00,Closed,0
2009-04-29T22:09:08.216000+00:00,Open,11
2009-04-30T22:09:08.216000+00:00,Resolved,12
2009-04-30T22:09:08.216000+00:00,In Progress,0
2009-04-30T22:09:08.216000+00:00,Patch Available,2
2009-04-30T22:09:08.216000+00:00,Reopened,0
2009-04-30T22:09:08.216000+00:00,Closed,0
2009-04-30T22:09:08.216000+00:00,Open,11
2009-05-01T22:09:08.216000+00:00,Resolved,12
2009-05-01T22:09:08.216000+00:00,In Progress,0
2009-05-01T22:09:08.216000+00:00,Patch Available,2
2009-05-01T22:09:08.216000+00:00,Reopened,0
2009-05-01T22:09:08.216000+00:00,Closed,0
2009-05-01T22:09:08.216000+00:00,Open,12
2009-05-02T22:09:08.216000+00:00,Resolved,12
2009-05-02T22:09:08.216000+00:00,In Progress,0
2009-05-02T22:09:08.216000+00:00,Patch Available,2
2009-05-02T22:09:08.216000+00:00,Reopened,0
2009-05-02T22:09:08.216000+00:00,Closed,0
2009-05-02T22:09:08.216000+00:00,Open,12
2009-05-03T22:09:08.216000+00:00,Resolved,12
2009-05-03T22:09:08.216000+00:00,In Progress,0
2009-05-03T22:09:08.216000+00:00,Patch Available,2
2009-05-03T22:09:08.216000+00:00,Reopened,0
2009-05-03T22:09:08.216000+00:00,Closed,0
2009-05-03T22:09:08.216000+00:00,Open,12
2009-05-04T22:09:08.216000+00:00,Resolved,12
2009-05-04T22:09:08.216000+00:00,In Progress,0
2009-05-04T22:09:08.216000+00:00,Patch Available,3
2009-05-04T22:09:08.216000+00:00,Reopened,0
2009-05-04T22:09:08.216000+00:00,Closed,0
2009-05-04T22:09:08.216000+00:00,Open,11
2009-05-05T22:09:08.216000+00:00,Resolved,12
2009-05-05T22:09:08.216000+00:00,In Progress,0
2009-05-05T22:09:08.216000+00:00,Patch Available,3
2009-05-05T22:09:08.216000+00:00,Reopened,0
2009-05-05T22:09:08.216000+00:00,Closed,0
2009-05-05T22:09:08.216000+00:00,Open,11
2009-05-06T22:09:08.216000+00:00,Resolved,12
2009-05-06T22:09:08.216000+00:00,In Progress,1
2009-05-06T22:09:08.216000+00:00,Patch Available,3
2009-05-06T22:09:08.216000+00:00,Reopened,0
2009-05-06T22:09:08.216000+00:00,Closed,0
2009-05-06T22:09:08.216000+00:00,Open,11
2009-05-07T22:09:08.216000+00:00,Resolved,12
2009-05-07T22:09:08.216000+00:00,In Progress,0
2009-05-07T22:09:08.216000+00:00,Patch Available,4
2009-05-07T22:09:08.216000+00:00,Reopened,0
2009-05-07T22:09:08.216000+00:00,Closed,0
2009-05-07T22:09:08.216000+00:00,Open,11
2009-05-08T22:09:08.216000+00:00,Resolved,12
2009-05-08T22:09:08.216000+00:00,In Progress,1
2009-05-08T22:09:08.216000+00:00,Patch Available,4
2009-05-08T22:09:08.216000+00:00,Reopened,0
2009-05-08T22:09:08.216000+00:00,Closed,0
2009-05-08T22:09:08.216000+00:00,Open,10
2009-05-09T22:09:08.216000+00:00,Resolved,12
2009-05-09T22:09:08.216000+00:00,In Progress,1
2009-05-09T22:09:08.216000+00:00,Patch Available,4
2009-05-09T22:09:08.216000+00:00,Reopened,0
2009-05-09T22:09:08.216000+00:00,Closed,0
2009-05-09T22:09:08.216000+00:00,Open,10
2009-05-10T22:09:08.216000+00:00,Resolved,12
2009-05-10T22:09:08.216000+00:00,In Progress,1
2009-05-10T22:09:08.216000+00:00,Patch Available,4
2009-05-10T22:09:08.216000+00:00,Reopened,0
2009-05-10T22:09:08.216000+00:00,Closed,0
2009-05-10T22:09:08.216000+00:00,Open,10
2009-05-11T22:09:08.216000+00:00,Resolved,13
2009-05-11T22:09:08.216000+00:00,In Progress,1
2009-05-11T22:09:08.216000+00:00,Patch Available,3
2009-05-11T22:09:08.216000+00:00,Reopened,0
2009-05-11T22:09:08.216000+00:00,Closed,0
2009-05-11T22:09:08.216000+00:00,Open,11
2009-05-12T22:09:08.216000+00:00,Resolved,14
2009-05-12T22:09:08.216000+00:00,In Progress,1
2009-05-12T22:09:08.216000+00:00,Patch Available,3
2009-05-12T22:09:08.216000+00:00,Reopened,0
2009-05-12T22:09:08.216000+00:00,Closed,0
2009-05-12T22:09:08.216000+00:00,Open,11
2009-05-13T22:09:08.216000+00:00,Resolved,16
2009-05-13T22:09:08.216000+00:00,In Progress,1
2009-05-13T22:09:08.216000+00:00,Patch Available,3
2009-05-13T22:09:08.216000+00:00,Reopened,0
2009-05-13T22:09:08.216000+00:00,Closed,0
2009-05-13T22:09:08.216000+00:00,Open,12
2009-05-14T22:09:08.216000+00:00,Resolved,17
2009-05-14T22:09:08.216000+00:00,In Progress,1
2009-05-14T22:09:08.216000+00:00,Patch Available,3
2009-05-14T22:09:08.216000+00:00,Reopened,0
2009-05-14T22:09:08.216000+00:00,Closed,0
2009-05-14T22:09:08.216000+00:00,Open,12
2009-05-15T22:09:08.216000+00:00,Resolved,17
2009-05-15T22:09:08.216000+00:00,In Progress,1
2009-05-15T22:09:08.216000+00:00,Patch Available,3
2009-05-15T22:09:08.216000+00:00,Reopened,0
2009-05-15T22:09:08.216000+00:00,Closed,0
2009-05-15T22:09:08.216000+00:00,Open,13
2009-05-16T22:09:08.216000+00:00,Resolved,17
2009-05-16T22:09:08.216000+00:00,In Progress,1
2009-05-16T22:09:08.216000+00:00,Patch Available,3
2009-05-16T22:09:08.216000+00:00,Reopened,0
2009-05-16T22:09:08.216000+00:00,Closed,0
2009-05-16T22:09:08.216000+00:00,Open,13
2009-05-17T22:09:08.216000+00:00,Resolved,17
2009-05-17T22:09:08.216000+00:00,In Progress,1
2009-05-17T22:09:08.216000+00:00,Patch Available,3
2009-05-17T22:09:08.216000+00:00,Reopened,0
2009-05-17T22:09:08.216000+00:00,Closed,0
2009-05-17T22:09:08.216000+00:00,Open,13
2009-05-18T22:09:08.216000+00:00,Resolved,18
2009-05-18T22:09:08.216000+00:00,In Progress,0
2009-05-18T22:09:08.216000+00:00,Patch Available,3
2009-05-18T22:09:08.216000+00:00,Reopened,0
2009-05-18T22:09:08.216000+00:00,Closed,0
2009-05-18T22:09:08.216000+00:00,Open,13
2009-05-19T22:09:08.216000+00:00,Resolved,18
2009-05-19T22:09:08.216000+00:00,In Progress,0
2009-05-19T22:09:08.216000+00:00,Patch Available,3
2009-05-19T22:09:08.216000+00:00,Reopened,0
2009-05-19T22:09:08.216000+00:00,Closed,0
2009-05-19T22:09:08.216000+00:00,Open,13
2009-05-20T22:09:08.216000+00:00,Resolved,19
2009-05-20T22:09:08.216000+00:00,In Progress,0
2009-05-20T22:09:08.216000+00:00,Patch Available,2
2009-05-20T22:09:08.216000+00:00,Reopened,0
2009-05-20T22:09:08.216000+00:00,Closed,0
